,file_path,label
0,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_man_14_07.mp3,7
1,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_man_7_03.mp3,3
2,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_11_07.mp3,7
3,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_23_02.mp3,2
4,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_24_08.mp3,8
5,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_45_07.mp3,7
6,/Users/dimaevcenko/Documents/ml_proj/dataset/woman_51_01.mp3,1
7,/Users/dimaevcenko/Documents/ml_proj/dataset/man_27_08.mp3,8
8,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_23_01.mp3,1
9,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_man_31_01.mp3,1
10,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_35_01.mp3,1
11,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_44_06.mp3,6
12,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_10_06.mp3,6
13,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_31_0.mp3,0
14,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_man_36_08.mp3,8
15,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_32_08.mp3,8
16,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_man_9_06.mp3,6
17,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_11_0.mp3,0
18,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_24_06.mp3,6
19,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_man_32_03.mp3,3
20,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_38_07.mp3,7
21,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_37_03.mp3,3
22,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_5_07.mp3,7
23,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_39_06.mp3,6
24,/Users/dimaevcenko/Documents/ml_proj/dataset/woman_22_04.mp3,4
25,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_50_07.mp3,7
26,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_36_02.mp3,2
27,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_13_05.mp3,5
28,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_man_17_05.mp3,5
29,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_1_07.mp3,7
30,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_33_07.mp3,7
31,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_3_08.mp3,8
32,/Users/dimaevcenko/Documents/ml_proj/dataset/man_30_04.mp3,4
33,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_man_28_08.mp3,8
34,/Users/dimaevcenko/Documents/ml_proj/dataset/woman_41_04.mp3,4
35,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_33_04.mp3,4
36,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_4_01.mp3,1
37,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_12_07.mp3,7
38,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_49_03.mp3,3
39,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_2_06.mp3,6
40,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_3_07.mp3,7
41,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_47_06.mp3,6
42,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_woman_25_0.mp3,0
43,/Users/dimaevcenko/Documents/ml_proj/dataset/man_40_0.mp3,0
44,/Users/dimaevcenko/Documents/ml_proj/dataset/man_39_08.mp3,8
45,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_man_21_04.mp3,4
46,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_man_25_04.mp3,4
47,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_4_08.mp3,8
48,/Users/dimaevcenko/Documents/ml_proj/dataset/woman_14_05.mp3,5
49,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_3_01.mp3,1
50,/Users/dimaevcenko/Documents/ml_proj/dataset/woman_48_08.mp3,8
51,/Users/dimaevcenko/Documents/ml_proj/dataset/man_11_09.mp3,9
52,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_woman_28_02.mp3,2
53,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_augmented_augmented_woman_27_06.mp3,6
54,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_woman_15_03.mp3,3
55,/Users/dimaevcenko/Documents/ml_proj/dataset/augmented_augmented_man_12_09.mp3,9
